date,open,high,low,close,volume
2025-12-26 09:15:00,423.9,427.55,419.05,419.85,2510361.0
2025-12-29 09:15:00,420.0,427.1,417.3,422.25,6424028.0
2025-12-30 09:15:00,422.0,426.4,419.8,422.05,4570566.0
2025-12-31 09:15:00,422.9,434.7,410.0,418.75,17326544.0
2026-01-01 09:15:00,421.05,439.85,421.05,435.8,17970341.0
2026-01-02 09:15:00,438.0,446.0,432.75,442.05,11982152.0
2026-01-05 09:15:00,439.3,442.65,432.0,434.2,5894990.0
2026-01-06 09:15:00,434.0,436.8,430.05,432.25,5754607.0
2026-01-07 09:15:00,433.0,433.5,427.05,429.0,5018878.0
2026-01-08 09:15:00,430.45,436.8,424.45,430.85,10696988.0
2026-01-09 09:15:00,450.0,454.95,430.05,433.4,26527175.0
2026-01-12 09:15:00,435.0,441.5,428.45,432.6,8821785.0
2026-01-13 09:15:00,433.0,433.45,423.1,427.9,5850975.0
2026-01-14 09:15:00,432.25,443.7,432.25,438.4,9332296.0
2026-01-16 09:15:00,438.4,438.95,429.5,433.85,10418752.0
2026-01-19 09:15:00,432.65,434.0,425.0,428.4,5898599.0
2026-01-20 09:15:00,427.0,427.75,412.7,414.55,5559575.0
2026-01-21 09:15:00,411.05,417.6,401.45,414.0,8491961.0
2026-01-22 09:15:00,417.0,420.35,413.1,419.2,7164284.0
2026-01-23 09:15:00,419.2,422.15,410.0,413.15,4665531.0
2026-01-27 09:15:00,416.05,425.95,411.25,422.55,7419336.0
2026-01-28 09:15:00,425.25,428.6,420.85,425.3,4337181.0
2026-01-29 09:15:00,429.0,442.7,426.05,441.55,8487120.0
2026-01-30 09:15:00,440.95,452.0,435.45,444.3,11897285.0
2026-02-01 09:15:00,443.95,443.95,418.0,423.95,4375451.0
2026-02-02 09:15:00,424.3,433.45,419.45,431.8,9268964.0
2026-02-03 09:15:00,443.4,450.0,425.4,438.55,10838614.0
2026-02-04 09:15:00,439.2,447.0,437.4,445.1,5316074.0
2026-02-05 09:15:00,445.1,445.9,438.95,442.4,4258051.0
2026-02-06 09:15:00,442.55,447.55,432.85,443.35,5313719.0
2026-02-09 09:15:00,446.5,457.15,443.75,456.15,6772155.0
2026-02-10 09:15:00,459.0,461.6,448.65,459.15,12345910.0
2026-02-11 09:15:00,461.0,472.0,457.2,467.05,9936035.0
2026-02-12 09:15:00,467.05,475.0,464.0,474.0,8131246.0
2026-02-13 09:15:00,469.5,472.0,464.15,466.6,4313315.0
2026-02-16 09:15:00,466.6,475.15,463.65,473.7,5723670.0
2026-02-17 09:15:00,475.4,477.0,467.6,472.7,3763634.0
2026-02-18 09:15:00,472.8,481.05,469.5,477.75,5407805.0
2026-02-19 09:15:00,479.0,481.5,469.2,472.9,5281104.0
2026-02-20 09:15:00,470.1,477.1,467.9,474.35,4473602.0
2026-02-23 09:15:00,476.75,476.75,468.1,472.2,3640333.0
2026-02-24 09:15:00,469.9,473.0,464.05,469.9,5575559.0
2026-02-25 09:15:00,470.0,473.0,454.25,461.45,6005431.0
2026-02-26 09:15:00,462.7,463.6,455.5,461.25,4080221.0
2026-02-27 09:15:00,459.0,461.7,452.15,454.95,7170798.0
2026-03-02 09:15:00,439.15,459.3,439.15,448.55,3235580.0
2026-03-04 09:15:00,443.8,445.0,431.15,442.3,5453113.0
2026-03-05 09:15:00,444.6,456.25,444.6,451.4,3038175.0
2026-03-06 09:15:00,450.75,457.65,449.0,452.05,2140959.0
2026-03-09 09:15:00,444.5,444.95,433.55,438.5,2829820.0
2026-03-10 09:15:00,442.05,447.75,439.1,445.45,2238534.0
2026-03-11 09:15:00,442.4,450.15,436.65,438.75,2585875.0
2026-03-12 09:15:00,436.9,444.75,430.55,442.05,5403935.0
2026-03-13 09:15:00,439.15,440.8,422.7,423.95,2702224.0
2026-03-16 09:15:00,425.0,430.65,418.45,427.1,3446835.0
2026-03-17 09:15:00,429.45,439.0,427.3,436.15,3131170.0
2026-03-18 09:15:00,437.1,443.75,434.2,440.95,3154268.0
2026-03-19 09:15:00,435.7,435.7,422.0,426.65,3178646.0
2026-03-20 09:15:00,429.65,441.75,429.65,434.55,5436700.0
2026-03-23 09:15:00,430.0,430.0,411.8,413.6,4793426.0
2026-03-24 09:15:00,422.0,432.9,415.45,429.3,4652608.0
2026-03-25 09:15:00,431.8,434.8,422.0,427.85,7419269.0
2026-03-27 09:15:00,423.6,429.5,419.25,426.3,6160559.0
2026-03-30 09:15:00,425.05,429.0,415.5,418.15,8737012.0
2026-04-01 09:15:00,436.8,436.8,420.85,423.25,4689273.0
2026-04-02 09:15:00,417.7,426.35,409.55,424.85,3693968.0
2026-04-06 09:15:00,422.0,432.55,420.8,425.5,3868647.0
2026-04-07 09:15:00,422.0,426.8,419.4,423.15,3134435.0
2026-04-08 09:15:00,433.0,442.95,430.6,440.95,3295745.0
2026-04-09 09:15:00,442.7,442.7,432.85,438.45,3485937.0
2026-04-10 09:15:00,438.0,443.2,433.85,437.85,4687274.0
2026-04-13 09:15:00,430.0,440.5,425.6,438.45,2764767.0
2026-04-15 09:15:00,434.5,436.9,419.15,420.25,10073376.0
2026-04-16 09:15:00,421.5,424.7,412.25,413.15,9807849.0
2026-04-17 09:15:00,413.15,416.6,409.0,412.25,10614267.0
2026-04-20 09:15:00,412.5,413.85,403.6,405.8,8774694.0
2026-04-21 09:15:00,403.1,419.6,403.1,414.75,7884039.0
2026-04-22 09:15:00,414.75,418.6,406.5,408.15,5628398.0
2026-04-23 09:15:00,405.15,408.3,400.95,404.7,7560920.0
2026-04-24 09:15:00,405.9,406.6,395.65,402.2,5743207.0
2026-04-27 09:15:00,403.45,407.5,399.5,402.3,3382004.0
2026-04-28 09:15:00,411.0,419.05,409.6,413.95,9680019.0
2026-04-29 09:15:00,419.0,421.85,411.55,413.9,10438131.0
2026-04-30 09:15:00,413.0,413.9,407.0,409.95,4414903.0
