date,open,high,low,close,volume
2025-12-09 09:15:00,76.2,76.63,75.05,76.47,8071171.0
2025-12-10 09:15:00,76.47,79.31,76.26,76.87,11484756.0
2025-12-11 09:15:00,76.6,77.0,75.56,76.69,8175564.0
2025-12-12 09:15:00,76.81,77.36,76.61,77.13,5170567.0
2025-12-15 09:15:00,76.9,77.34,76.52,77.21,3577380.0
2025-12-16 09:15:00,77.14,77.2,75.51,76.01,5982508.0
2025-12-17 09:15:00,76.0,76.0,75.0,75.39,5716621.0
2025-12-18 09:15:00,75.0,75.25,74.4,75.04,6166849.0
2025-12-19 09:15:00,75.12,76.75,74.75,76.61,8352760.0
2025-12-22 09:15:00,76.61,78.04,76.5,77.67,8760062.0
2025-12-23 09:15:00,78.0,78.52,77.36,78.23,5923487.0
2025-12-24 09:15:00,78.44,78.7,77.63,77.81,5716970.0
2025-12-26 09:15:00,77.42,79.17,77.28,78.36,9063484.0
2025-12-29 09:15:00,78.36,78.36,76.5,76.79,7882505.0
2025-12-30 09:15:00,76.8,78.75,76.8,78.58,17154730.0
2025-12-31 09:15:00,78.48,79.9,78.32,79.22,11502750.0
2026-01-01 09:15:00,79.06,80.23,79.06,79.56,6861848.0
2026-01-02 09:15:00,79.56,83.93,79.5,83.62,32430153.0
2026-01-05 09:15:00,84.0,84.68,82.91,83.66,19831880.0
2026-01-06 09:15:00,83.06,83.95,82.78,83.53,11599812.0
2026-01-07 09:15:00,83.1,83.88,82.73,83.66,12484291.0
2026-01-08 09:15:00,83.8,84.23,81.72,82.17,11540338.0
2026-01-09 09:15:00,82.2,83.69,82.03,82.43,21164552.0
2026-01-12 09:15:00,82.38,82.99,80.26,82.8,15097408.0
2026-01-13 09:15:00,82.89,83.34,80.75,81.42,11938744.0
2026-01-14 09:15:00,80.69,82.22,80.51,81.29,9338673.0
2026-01-16 09:15:00,81.29,81.54,79.46,80.22,62986811.0
2026-01-19 09:15:00,79.58,81.67,78.95,79.42,9016570.0
2026-01-20 09:15:00,79.1,79.2,77.14,77.57,11440113.0
2026-01-21 09:15:00,77.0,77.67,75.94,76.12,17091171.0
2026-01-22 09:15:00,76.97,77.95,76.56,77.45,10030169.0
2026-01-23 09:15:00,78.05,78.06,75.04,75.25,11193218.0
2026-01-27 09:15:00,75.43,76.17,74.36,75.14,40379909.0
2026-01-28 09:15:00,75.3,79.09,75.28,78.89,10992004.0
2026-01-29 09:15:00,79.2,80.2,78.37,79.18,11912349.0
2026-01-30 09:15:00,78.5,78.89,77.2,78.2,14584257.0
2026-02-01 09:15:00,78.29,79.16,76.07,77.0,8737856.0
2026-02-02 09:15:00,76.47,78.24,74.93,77.79,12293921.0
2026-02-03 09:15:00,79.18,80.5,77.5,78.49,18077960.0
2026-02-04 09:15:00,78.49,80.49,77.95,78.48,17623704.0
2026-02-05 09:15:00,77.6,80.37,76.2,80.0,26499178.0
2026-02-06 09:15:00,80.0,80.4,78.56,79.43,9048503.0
2026-02-09 09:15:00,80.29,80.29,78.04,78.9,15308838.0
2026-02-10 09:15:00,78.0,78.14,76.81,76.95,25051448.0
2026-02-11 09:15:00,77.29,77.76,76.36,77.58,13906623.0
2026-02-12 09:15:00,77.4,77.6,76.16,76.5,13309440.0
2026-02-13 09:15:00,76.05,76.12,75.2,75.47,10066742.0
2026-02-16 09:15:00,75.47,77.44,74.65,77.04,10917667.0
2026-02-17 09:15:00,76.99,77.31,76.46,76.71,10226000.0
2026-02-18 09:15:00,76.72,76.88,75.93,76.34,10755577.0
2026-02-19 09:15:00,76.34,76.73,74.1,74.36,12521749.0
2026-02-20 09:15:00,74.49,75.0,73.95,74.47,13669825.0
2026-02-23 09:15:00,75.14,75.14,73.71,74.08,11122387.0
2026-02-24 09:15:00,73.98,76.0,73.7,75.77,13924500.0
2026-02-25 09:15:00,75.69,76.3,74.75,75.67,8286035.0
2026-02-26 09:15:00,75.6,76.13,74.9,75.73,22634338.0
2026-02-27 09:15:00,75.73,76.48,75.02,75.33,21574575.0
2026-03-02 09:15:00,72.76,75.4,72.4,73.14,25723090.0
2026-03-04 09:15:00,72.48,73.05,71.62,72.23,19057575.0
2026-03-05 09:15:00,72.35,74.5,72.35,74.15,15870110.0
2026-03-06 09:15:00,74.0,75.25,73.65,74.18,14268041.0
2026-03-09 09:15:00,73.0,73.4,72.09,73.04,22232154.0
2026-03-10 09:15:00,73.4,74.32,72.79,73.04,11915288.0
2026-03-11 09:15:00,73.2,74.6,73.01,73.46,12028018.0
2026-03-12 09:15:00,73.0,76.36,72.76,74.78,16804967.0
2026-03-13 09:15:00,75.2,76.48,74.35,74.98,26761513.0
2026-03-16 09:15:00,75.2,75.98,74.27,75.27,26396878.0
2026-03-17 09:15:00,75.9,77.1,75.67,76.89,22958619.0
2026-03-18 09:15:00,76.91,78.2,76.54,77.36,28693906.0
2026-03-19 09:15:00,76.5,77.78,75.98,76.24,17620849.0
2026-03-20 09:15:00,76.61,78.44,76.57,76.8,19824270.0
2026-03-23 09:15:00,76.8,77.17,74.7,75.28,11883610.0
2026-03-24 09:15:00,76.02,76.79,74.8,76.54,9600102.0
2026-03-25 09:15:00,76.93,78.25,76.71,77.2,13196383.0
2026-03-27 09:15:00,77.2,78.28,76.34,76.59,15856853.0
2026-03-30 09:15:00,75.5,76.18,73.0,73.72,21394338.0
2026-04-01 09:15:00,75.95,76.1,74.5,75.39,14922443.0
2026-04-02 09:15:00,74.62,75.55,73.11,75.33,9127053.0
2026-04-06 09:15:00,75.25,76.33,74.22,76.16,8019672.0
2026-04-07 09:15:00,75.9,76.2,75.29,75.67,5064467.0
2026-04-08 09:15:00,77.0,77.45,76.15,76.7,12486689.0
2026-04-09 09:15:00,78.0,78.54,76.63,77.11,31334772.0
2026-04-10 09:15:00,77.48,78.3,76.62,77.09,17950797.0
2026-04-13 09:15:00,76.33,77.98,75.15,77.66,14493079.0
2026-04-15 09:15:00,78.55,81.45,78.36,80.58,24133878.0
2026-04-16 09:15:00,81.1,82.22,79.92,81.38,19779326.0
2026-04-17 09:15:00,81.7,85.78,81.29,83.56,50026609.0
2026-04-20 09:15:00,83.99,83.99,82.25,83.1,16988597.0
2026-04-21 09:15:00,83.1,84.57,82.3,82.63,12629708.0
2026-04-22 09:15:00,82.8,83.5,81.99,82.63,14953779.0
2026-04-23 09:15:00,82.51,83.08,81.21,81.46,9025789.0
2026-04-24 09:15:00,81.48,82.28,79.98,80.66,14088780.0
2026-04-27 09:15:00,81.0,83.35,80.94,83.23,16998016.0
2026-04-28 09:15:00,83.21,85.6,83.15,85.38,29008047.0
2026-04-29 09:15:00,86.1,86.83,83.36,84.09,28377211.0
2026-04-30 09:15:00,83.5,83.51,81.58,83.2,15377210.0
